station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Mokha,22.95,69.8,0.011,0.002,0.041,0.013,0.002,0.023,0.623,2.222,0.464,0.153,0.06,0.183,0.014,0.004,0.643,0.02,0.01
Balasinor1,22.95,73.325,0.018,0.003,0.049,0.02,0.001,0.026,1.273,4.025,0.245,0.051,0.061,0.181,0.015,0.006,0.576,0.014,0.01
Shehra,22.95416667,73.625,0.007,0.004,0.048,0.008,0.002,0.025,1.071,3.842,0.185,0.167,0.056,0.27,0.007,0.002,0.689,0.041,0.01
Mota dhansura,22.95833333,70.61666667,0.017,0.004,0.018,0.012,0.002,0.015,0.979,3.222,0.167,0.152,0.061,0.31,0.012,0.002,0.738,0.039,0.01
Balasinor,22.95833333,73.33611111,0.018,0.001,0.044,0.014,0.001,0.011,1.148,4.748,0.288,0.139,0.067,0.291,0.012,0.006,0.508,0.038,0.01
Asambia mota1,22.96805556,69.4375,0.016,0.001,0.014,0.014,0.001,0.027,0.827,2.726,0.305,0.058,0.07,0.349,0.015,0.001,0.827,0.043,0.01
Juna Devaliya 1,22.97944444,71.00888889,0.007,0.002,0.011,0.012,0.002,0.026,0.957,1.17,0.189,0.167,0.062,0.233,0.016,0.002,0.783,0.02,0.01
Bhadia mota,22.98333333,69.33333333,0.008,0.003,0.039,0.018,0.001,0.025,1.569,1.161,0.437,0.199,0.054,0.313,0.016,0.003,0.871,0.047,0.01
Vitthalgarh,22.9875,71.975,0.016,0.005,0.057,0.019,0.001,0.015,1.327,3.765,0.163,0.119,0.01,0.293,0.018,0.004,0.622,0.069,0.01
Mathak1,22.99722222,70.025,0.008,0.003,0.073,0.017,0.002,0.012,1.006,1.707,0.244,0.137,0.07,0.27,0.02,0.006,0.571,0.027,0.01
Macchukunda,23.00138889,70.89583333,0.017,0.005,0.026,0.018,0.001,0.011,0.628,4.091,0.21,0.153,0.049,0.349,0.018,0.003,0.669,0.017,0.01
Kherwa,23.00416667,71.74583333,0.01,0.004,0.052,0.016,0.002,0.029,1.295,2.805,0.108,0.089,0.023,0.195,0.019,0.006,0.992,0.044,0.01
Kapadvanj,23.00416667,73.09166667,0.006,0.003,0.021,0.02,0.002,0.026,1.956,4.516,0.177,0.106,0.016,0.337,0.008,0.006,0.525,0.062,0.01
Limbdi2,23.00416667,74.15833333,0.017,0.002,0.053,0.015,0.001,0.013,0.968,1.088,0.349,0.112,0.061,0.154,0.013,0.001,0.778,0.061,0.01
Sarvad,23.00638889,70.70694444,0.016,0.003,0.048,0.016,0.002,0.024,1.985,4.863,0.116,0.096,0.025,0.336,0.017,0.007,0.962,0.058,0.01
Sukhpar1,23.00833333,71.28333333,0.006,0.003,0.079,0.016,0.001,0.025,0.999,2.848,0.182,0.172,0.035,0.253,0.008,0.001,0.942,0.054,0.01
Kothamba,23.01944444,73.51944444,0.011,0.005,0.044,0.01,0.001,0.025,1.157,2.912,0.294,0.146,0.055,0.146,0.007,0.005,0.923,0.045,0.01
Halvad2,23.02083333,71.1875,0.016,0.002,0.064,0.012,0.002,0.013,1.837,4.546,0.284,0.183,0.03,0.207,0.007,0.006,0.835,0.016,0.01
Shinaya,23.03333333,70.05416667,0.008,0.002,0.03,0.017,0.002,0.021,0.753,2.064,0.111,0.184,0.034,0.1,0.018,0.006,0.808,0.051,0.01
Ghuma,23.03333333,72.44583333,0.011,0.003,0.069,0.01,0.002,0.017,0.972,1.98,0.423,0.09,0.048,0.328,0.009,0.003,0.647,0.065,0.01
Suthri,23.03388889,68.91527778,0.007,0.004,0.049,0.018,0.002,0.025,1.521,3.382,0.414,0.089,0.045,0.252,0.018,0.005,0.941,0.067,0.01
Kotaya,23.04166667,69.075,0.015,0.004,0.034,0.008,0.001,0.029,1.58,1.346,0.39,0.127,0.061,0.189,0.008,0.001,0.572,0.015,0.01
Kotadi,23.04166667,69.19166667,0.019,0.005,0.053,0.006,0.002,0.013,1.532,4.261,0.14,0.063,0.021,0.114,0.013,0.006,0.55,0.056,0.01
Dunai,23.05,69.5,0.02,0.005,0.065,0.016,0.001,0.019,0.739,3.092,0.224,0.077,0.063,0.284,0.007,0.005,0.757,0.043,0.01
Pipli,23.06,71.73416667,0.016,0.004,0.021,0.013,0.001,0.021,1.621,3.399,0.478,0.072,0.013,0.213,0.011,0.002,0.931,0.017,0.01
Jokha,23.06194444,73.62027778,0.01,0.001,0.017,0.007,0.001,0.016,0.612,4.442,0.125,0.104,0.018,0.349,0.007,0.004,0.953,0.041,0.01
Suliyat,23.06222222,73.85083333,0.007,0.003,0.036,0.011,0.001,0.014,0.639,4.379,0.375,0.067,0.06,0.24,0.012,0.005,0.674,0.061,0.01
Mau Moti_1,23.07638889,69.29861111,0.007,0.004,0.055,0.015,0.001,0.023,0.956,4.579,0.353,0.061,0.024,0.21,0.014,0.004,0.605,0.062,0.01
Gandhidham1,23.08333333,70.14166667,0.016,0.005,0.034,0.011,0.001,0.02,1.549,3.348,0.442,0.058,0.033,0.276,0.013,0.002,0.853,0.05,0.01
Juna vasadra,23.08333333,73.3625,0.006,0.002,0.071,0.012,0.001,0.02,1.4,2.284,0.162,0.179,0.057,0.222,0.019,0.001,0.932,0.03,0.01
Malia,23.09166667,70.7625,0.012,0.004,0.015,0.008,0.001,0.014,0.802,4.556,0.237,0.195,0.036,0.326,0.008,0.003,0.894,0.048,0.01
Jhalod1,23.09166667,74.13333333,0.006,0.003,0.06,0.01,0.001,0.013,1.932,2.637,0.264,0.116,0.067,0.167,0.011,0.006,0.757,0.062,0.01
Vinjhan1,23.1,69.025,0.01,0.002,0.028,0.018,0.002,0.027,1.229,4.29,0.171,0.063,0.067,0.162,0.012,0.002,0.878,0.047,0.01
Ghansyam Gadh,23.10666667,71.48416667,0.005,0.003,0.036,0.006,0.001,0.02,0.803,4.747,0.193,0.113,0.05,0.227,0.009,0.004,0.842,0.045,0.01
Ratanpur(maum.),23.10833333,69.29166667,0.016,0.002,0.071,0.007,0.001,0.026,1.299,4.271,0.385,0.143,0.016,0.394,0.019,0.002,0.875,0.063,0.01
Miani,23.1125,71.12916667,0.015,0.003,0.036,0.01,0.001,0.026,1.417,3.397,0.24,0.165,0.064,0.272,0.009,0.005,0.612,0.021,0.01
Bajana,23.11666667,71.78333333,0.006,0.002,0.077,0.019,0.001,0.018,1.667,1.429,0.13,0.126,0.034,0.145,0.015,0.004,0.995,0.019,0.01
Kukavati,23.12277778,71.47972222,0.01,0.003,0.058,0.009,0.001,0.015,1.864,2.184,0.388,0.134,0.051,0.248,0.012,0.007,0.685,0.014,0.01
Boral,23.125,73.20833333,0.008,0.004,0.062,0.007,0.001,0.022,0.944,3.164,0.235,0.088,0.048,0.38,0.015,0.001,0.522,0.034,0.01
Lunawada,23.12916667,73.60833333,0.007,0.004,0.044,0.018,0.001,0.014,1.049,3.558,0.125,0.156,0.019,0.333,0.007,0.005,0.839,0.033,0.01
Viramgam2,23.14166667,72.03333333,0.016,0.001,0.056,0.006,0.002,0.011,1.371,4.09,0.203,0.19,0.018,0.235,0.006,0.002,0.807,0.011,0.01
Gadhar,23.15,73.775,0.008,0.002,0.054,0.018,0.001,0.029,1.086,3.748,0.466,0.139,0.026,0.391,0.009,0.003,0.6,0.056,0.01
Sukhsar,23.15,74.05,0.011,0.001,0.021,0.02,0.002,0.015,1.795,1.563,0.408,0.155,0.041,0.141,0.007,0.006,0.89,0.013,0.01
Kothara,23.16194444,68.91194444,0.011,0.004,0.047,0.018,0.002,0.028,1.334,3.161,0.402,0.16,0.056,0.123,0.016,0.005,0.557,0.037,0.01
Garada,23.16472222,74.12277778,0.016,0.005,0.043,0.014,0.001,0.019,0.831,3.718,0.381,0.163,0.03,0.274,0.008,0.007,0.606,0.05,0.01
Bar,23.16805556,73.41111111,0.014,0.004,0.062,0.009,0.001,0.028,1.679,2.891,0.482,0.089,0.069,0.19,0.013,0.004,0.55,0.057,0.01
Sedat,23.17138889,69.6375,0.02,0.005,0.028,0.018,0.001,0.016,0.676,2.005,0.462,0.153,0.022,0.311,0.011,0.005,0.686,0.028,0.01
Sathamba,23.175,73.3375,0.017,0.002,0.063,0.008,0.002,0.023,1.2,1.072,0.174,0.119,0.066,0.107,0.012,0.006,0.692,0.052,0.01
Kantha,23.17833333,73.65222222,0.01,0.005,0.028,0.009,0.002,0.024,0.851,2.759,0.209,0.2,0.026,0.294,0.015,0.002,0.943,0.02,0.01
Paliya,23.17916667,72.84166667,0.006,0.003,0.06,0.007,0.001,0.027,1.725,2.467,0.397,0.174,0.059,0.282,0.006,0.006,0.872,0.012,0.01
Kharaghoda,23.1875,71.75,0.017,0.004,0.048,0.011,0.001,0.013,0.762,3.415,0.218,0.102,0.051,0.263,0.016,0.003,0.642,0.049,0.01
Santrampur1,23.19166667,73.90833333,0.016,0.003,0.054,0.012,0.002,0.021,1.913,3.488,0.292,0.169,0.02,0.331,0.013,0.004,0.718,0.058,0.01
Serthapara1,23.19444444,72.56666667,0.015,0.003,0.059,0.019,0.001,0.01,1.218,1.013,0.455,0.053,0.031,0.336,0.018,0.002,0.505,0.059,0.01
Desalpur,23.20277778,69.44583333,0.006,0.002,0.028,0.016,0.002,0.011,1.633,1.405,0.226,0.142,0.031,0.286,0.014,0.002,0.592,0.07,0.01
Limbadia peti,23.20416667,73.6,0.005,0.004,0.016,0.01,0.001,0.03,1.001,1.039,0.365,0.156,0.055,0.117,0.015,0.003,0.503,0.039,0.01
Mothala,23.20833333,69.125,0.017,0.002,0.062,0.014,0.001,0.016,0.588,1.099,0.169,0.064,0.06,0.187,0.006,0.006,0.992,0.017,0.01
Sukhpar,23.20833333,69.61666667,0.012,0.002,0.058,0.008,0.001,0.015,1.226,1.542,0.323,0.191,0.058,0.247,0.013,0.006,0.858,0.06,0.01
Sarsava,23.22777778,73.97694444,0.011,0.003,0.023,0.018,0.002,0.027,1.94,2.568,0.439,0.071,0.015,0.166,0.013,0.002,0.957,0.068,0.01
Malekpur1,23.23055556,73.73611111,0.011,0.001,0.035,0.011,0.001,0.018,0.734,2.537,0.425,0.186,0.029,0.261,0.01,0.006,0.667,0.019,0.01
Boriya,23.24277778,72.94083333,0.006,0.003,0.052,0.017,0.002,0.029,1.615,2.028,0.21,0.101,0.037,0.391,0.017,0.001,0.57,0.022,0.01
Vidaj,23.24722222,72.3,0.014,0.004,0.078,0.018,0.001,0.015,1.842,4.237,0.189,0.197,0.035,0.267,0.011,0.002,0.989,0.046,0.01
Bhuj (Hospital),23.25,69.66666667,0.007,0.004,0.043,0.009,0.001,0.02,1.17,3.474,0.227,0.123,0.031,0.171,0.018,0.006,0.716,0.026,0.01
Bhuj (Circuit House),23.25,69.66666667,0.012,0.002,0.045,0.006,0.001,0.029,1.313,1.939,0.403,0.151,0.011,0.391,0.019,0.006,0.921,0.039,0.01
Bibipur,23.25277778,73.2125,0.014,0.003,0.037,0.013,0.001,0.015,1.482,4.023,0.32,0.063,0.019,0.386,0.016,0.006,0.529,0.044,0.01
Bibipur1,23.25277778,73.2125,0.006,0.004,0.074,0.016,0.001,0.029,1.349,3.756,0.289,0.195,0.066,0.336,0.009,0.007,0.955,0.012,0.01
Naliya,23.25583333,68.84,0.012,0.001,0.036,0.014,0.001,0.013,1.257,2.771,0.162,0.145,0.061,0.256,0.011,0.003,0.889,0.028,0.01
Naliya (Bus S),23.26666667,68.83333333,0.015,0.005,0.018,0.005,0.001,0.023,1.209,1.676,0.426,0.125,0.029,0.279,0.008,0.003,0.522,0.022,0.01
Sabdajinamuvada,23.27083333,72.925,0.012,0.002,0.075,0.012,0.001,0.028,1.804,4.968,0.32,0.146,0.048,0.153,0.013,0.002,0.698,0.046,0.01
Endla,23.27222222,72.05833333,0.008,0.004,0.028,0.011,0.001,0.022,1.645,4.749,0.182,0.142,0.029,0.258,0.016,0.003,0.968,0.048,0.01
Alwakampa,23.27472222,73.20833333,0.009,0.001,0.06,0.006,0.001,0.012,0.937,4.965,0.393,0.055,0.052,0.198,0.007,0.003,0.548,0.041,0.01
Mandal2,23.275,71.91666667,0.012,0.004,0.065,0.005,0.001,0.025,1.579,2.037,0.463,0.073,0.063,0.181,0.01,0.001,0.629,0.016,0.01
Tera,23.28333333,68.94722222,0.006,0.003,0.016,0.017,0.001,0.022,1.034,2.554,0.115,0.054,0.041,0.198,0.008,0.002,0.518,0.046,0.01
Budasan,23.2875,72.375,0.016,0.004,0.022,0.016,0.001,0.019,1.055,4.972,0.365,0.179,0.033,0.377,0.016,0.004,0.954,0.027,0.01
Kadana,23.28888889,73.83333333,0.011,0.003,0.032,0.007,0.001,0.029,1.877,3.195,0.115,0.187,0.014,0.338,0.01,0.005,0.919,0.065,0.01
Samkhiari,23.3,70.50833333,0.016,0.002,0.024,0.013,0.001,0.028,1.641,4.615,0.344,0.168,0.06,0.119,0.007,0.005,0.76,0.017,0.01
Umadpura,23.30361111,72.96444444,0.011,0.003,0.047,0.011,0.002,0.027,1.613,2.922,0.495,0.085,0.019,0.349,0.017,0.003,0.737,0.03,0.01
Dasada1,23.32083333,71.82916667,0.019,0.004,0.07,0.016,0.001,0.025,1.202,2.697,0.32,0.112,0.013,0.308,0.007,0.006,0.73,0.05,0.01
Kesharpura_Mayal,23.32222222,72.94888889,0.01,0.003,0.059,0.006,0.001,0.023,1.173,1.599,0.486,0.199,0.035,0.186,0.014,0.007,0.943,0.048,0.01
Bavaliya,23.325,73.56944444,0.013,0.004,0.029,0.014,0.001,0.013,1.284,1.933,0.169,0.112,0.023,0.336,0.014,0.004,0.666,0.014,0.01
Karanpur,23.33333333,73.3,0.009,0.001,0.053,0.017,0.001,0.022,0.636,3.938,0.2,0.13,0.018,0.305,0.007,0.003,0.912,0.047,0.01
Visawadi,23.34166667,71.73333333,0.006,0.002,0.051,0.018,0.001,0.016,0.919,2.816,0.148,0.055,0.029,0.349,0.014,0.006,0.583,0.029,0.01
Malpur_1,23.34472222,73.46444444,0.018,0.002,0.02,0.01,0.001,0.02,1.612,1.365,0.247,0.172,0.067,0.163,0.006,0.004,0.893,0.037,0.01
Jhinjhuwada,23.35,71.65833333,0.017,0.002,0.054,0.007,0.001,0.023,0.81,3.276,0.152,0.064,0.034,0.185,0.011,0.003,0.782,0.068,0.01
Dhansura,23.35,73.2,0.009,0.002,0.048,0.008,0.001,0.019,1.267,4.408,0.49,0.075,0.022,0.212,0.013,0.004,0.872,0.018,0.01
Dhansura1,23.35,73.2,0.007,0.001,0.064,0.013,0.002,0.019,1.516,4.104,0.269,0.194,0.022,0.19,0.02,0.004,0.696,0.061,0.01
Haboi,23.35833333,69.86666667,0.017,0.003,0.03,0.015,0.001,0.017,1.909,4.131,0.175,0.142,0.055,0.342,0.009,0.003,0.739,0.04,0.01
Dalod,23.36666667,71.96666667,0.006,0.004,0.016,0.007,0.002,0.015,0.701,1.51,0.449,0.146,0.068,0.301,0.019,0.007,0.832,0.018,0.01
Ughraj1,23.36666667,72.1,0.009,0.004,0.034,0.015,0.001,0.011,1.82,4.822,0.178,0.182,0.025,0.378,0.007,0.002,0.536,0.064,0.01
Khanpur,23.37,73.67722222,0.015,0.005,0.017,0.009,0.001,0.029,1.096,4.185,0.197,0.117,0.027,0.157,0.008,0.006,0.776,0.064,0.01
Harsol,23.37222222,73.025,0.012,0.003,0.06,0.008,0.001,0.024,1.124,4.52,0.43,0.138,0.056,0.122,0.01,0.003,0.709,0.065,0.01
Shivlakha,23.375,70.62361111,0.014,0.002,0.018,0.015,0.002,0.026,1.16,4.276,0.223,0.112,0.035,0.307,0.013,0.007,0.641,0.039,0.01
Pandarvada,23.375,73.63333333,0.007,0.004,0.022,0.009,0.001,0.016,0.574,3.86,0.196,0.111,0.042,0.335,0.006,0.004,0.603,0.05,0.01
Harsol1,23.37777778,73.01666667,0.018,0.001,0.076,0.019,0.002,0.017,1.395,4.748,0.477,0.184,0.022,0.285,0.008,0.005,0.936,0.04,0.01
Dhama,23.38527778,71.67944444,0.011,0.001,0.07,0.018,0.001,0.017,1.013,2.257,0.37,0.084,0.066,0.162,0.015,0.001,0.867,0.019,0.01
Rudramata,23.39166667,69.70833333,0.016,0.004,0.015,0.013,0.002,0.011,0.916,1.686,0.215,0.09,0.07,0.149,0.007,0.004,0.724,0.059,0.01
Lodai,23.4,69.89166667,0.005,0.003,0.037,0.011,0.002,0.013,1.989,4.453,0.472,0.179,0.028,0.296,0.02,0.002,0.59,0.047,0.01
Devisar,23.40277778,69.32916667,0.016,0.003,0.025,0.019,0.001,0.012,0.603,1.471,0.408,0.186,0.029,0.244,0.01,0.003,0.737,0.022,0.01
Hamirpur,23.40833333,73.45833333,0.005,0.004,0.064,0.008,0.002,0.013,1.6,4.446,0.24,0.177,0.013,0.338,0.009,0.003,0.78,0.058,0.01
Gagodar,23.41666667,70.8,0.006,0.003,0.041,0.007,0.001,0.027,1.112,2.674,0.29,0.17,0.047,0.392,0.015,0.006,0.994,0.042,0.01
Adriyana,23.425,71.70833333,0.01,0.004,0.031,0.008,0.001,0.022,1.361,2.905,0.496,0.184,0.013,0.267,0.018,0.002,0.686,0.056,0.01
Varvada,23.44194444,73.05666667,0.013,0.002,0.05,0.016,0.001,0.018,1.372,1.827,0.374,0.114,0.062,0.276,0.012,0.004,0.504,0.044,0.01
Chandranagar,23.45,69.4,0.006,0.002,0.077,0.01,0.001,0.016,0.529,3.382,0.139,0.073,0.037,0.189,0.01,0.004,0.624,0.054,0.01
Kharoi,23.45416667,70.35,0.009,0.003,0.061,0.005,0.002,0.015,0.543,1.402,0.228,0.167,0.024,0.147,0.006,0.004,0.877,0.02,0.01
Modasa,23.4625,73.30833333,0.008,0.002,0.061,0.008,0.001,0.02,0.798,3.406,0.124,0.178,0.06,0.162,0.008,0.003,0.633,0.03,0.01
Ugardi,23.46305556,69.13805556,0.016,0.002,0.042,0.019,0.001,0.019,1.425,3.997,0.328,0.169,0.052,0.305,0.011,0.001,0.992,0.026,0.01
Kakarwa,23.475,70.40416667,0.02,0.004,0.054,0.02,0.001,0.022,1.768,4.337,0.221,0.176,0.048,0.326,0.015,0.006,0.522,0.04,0.01
Surel,23.47916667,71.61944444,0.01,0.003,0.025,0.015,0.001,0.026,1.818,4.776,0.145,0.123,0.033,0.279,0.013,0.002,0.682,0.059,0.01
Seenawad,23.48638889,73.39861111,0.012,0.004,0.013,0.013,0.001,0.022,0.797,2.222,0.389,0.179,0.03,0.374,0.016,0.005,0.918,0.051,0.01
Meghraj,23.49583333,73.50833333,0.008,0.003,0.055,0.014,0.001,0.029,1.181,2.407,0.413,0.119,0.049,0.182,0.013,0.005,0.596,0.019,0.01
Asjol,23.50833333,72.18333333,0.017,0.004,0.048,0.015,0.002,0.012,1.527,4.267,0.458,0.184,0.01,0.263,0.009,0.004,0.829,0.04,0.01
Mau,23.51027778,72.51916667,0.014,0.002,0.04,0.014,0.002,0.029,1.07,4.553,0.272,0.084,0.058,0.1,0.012,0.004,0.742,0.041,0.01
Lilpur,23.51111111,70.65,0.017,0.002,0.017,0.017,0.001,0.021,0.809,2.425,0.219,0.107,0.054,0.162,0.009,0.006,0.714,0.065,0.01
Medasana,23.51194444,73.27444444,0.011,0.005,0.038,0.006,0.001,0.011,1.843,2.168,0.12,0.059,0.03,0.187,0.011,0.005,0.708,0.054,0.01
Rawapar,23.51666667,69.075,0.009,0.002,0.05,0.007,0.001,0.029,1.418,3.665,0.467,0.128,0.049,0.347,0.012,0.003,0.592,0.015,0.01
Mata no madh,23.53333333,68.95,0.008,0.004,0.061,0.005,0.002,0.022,0.762,4.712,0.494,0.081,0.012,0.311,0.011,0.005,0.739,0.031,0.01
Kuda,23.53444444,70.44027778,0.02,0.004,0.068,0.01,0.001,0.025,1.56,2.753,0.191,0.195,0.045,0.313,0.016,0.005,0.994,0.028,0.01
Dharpura,23.54583333,72.1125,0.015,0.002,0.074,0.009,0.001,0.013,1.425,2.686,0.353,0.183,0.031,0.285,0.009,0.005,0.903,0.042,0.01
Adesar (Pond),23.55,70.98333333,0.019,0.001,0.076,0.016,0.001,0.017,1.607,4.638,0.226,0.199,0.023,0.27,0.015,0.002,0.96,0.017,0.01
Rapar2,23.56666667,70.6375,0.017,0.003,0.055,0.008,0.001,0.024,1.202,1.665,0.108,0.06,0.04,0.237,0.02,0.003,0.989,0.064,0.01
Gadada,23.57527778,73.25305556,0.019,0.003,0.053,0.008,0.001,0.011,1.95,4.638,0.468,0.077,0.067,0.242,0.018,0.001,0.789,0.048,0.01
Maguna,23.57777778,72.28888889,0.009,0.003,0.044,0.017,0.001,0.011,0.84,3.825,0.435,0.193,0.033,0.352,0.007,0.005,0.539,0.025,0.01
Moti chander,23.59444444,71.78055556,0.01,0.004,0.029,0.012,0.002,0.026,0.906,4.644,0.119,0.157,0.057,0.246,0.009,0.002,0.59,0.016,0.01
Mathasuliya,23.6025,73.15444444,0.016,0.003,0.012,0.01,0.001,0.023,0.842,2.305,0.473,0.164,0.058,0.152,0.007,0.006,0.884,0.061,0.01
Ramgarh,23.60527778,72.91916667,0.017,0.004,0.08,0.009,0.001,0.03,0.615,4.667,0.369,0.152,0.016,0.228,0.015,0.003,0.98,0.059,0.01
Himmatnagar,23.60833333,72.95833333,0.016,0.003,0.055,0.009,0.002,0.023,1.024,4.267,0.339,0.141,0.021,0.118,0.006,0.005,0.579,0.052,0.01
Panchot,23.62916667,72.34166667,0.012,0.004,0.026,0.012,0.001,0.018,1.289,2.361,0.384,0.064,0.065,0.324,0.017,0.007,0.632,0.059,0.01
Dayapar1,23.63333333,68.87083333,0.015,0.004,0.022,0.009,0.001,0.018,1.285,2.75,0.244,0.171,0.028,0.377,0.012,0.001,0.891,0.054,0.01
Virpur_1(Himmat),23.65166667,72.95388889,0.013,0.002,0.015,0.009,0.002,0.022,0.76,1.796,0.246,0.077,0.015,0.373,0.014,0.003,0.558,0.031,0.01
Virpur (Himmat),23.65416667,72.95833333,0.008,0.001,0.044,0.011,0.001,0.022,1.957,2.066,0.432,0.065,0.047,0.25,0.019,0.005,0.913,0.061,0.01
Dhinoj,23.65833333,72.27916667,0.014,0.005,0.012,0.011,0.002,0.022,1.816,2.67,0.404,0.144,0.042,0.299,0.007,0.006,0.802,0.026,0.01
Dhinoj1,23.6625,72.27916667,0.011,0.005,0.055,0.006,0.002,0.016,1.494,1.171,0.286,0.18,0.041,0.288,0.013,0.002,0.709,0.039,0.01
Punasan,23.66944444,73.17361111,0.012,0.003,0.038,0.012,0.001,0.011,1.488,4.122,0.394,0.144,0.025,0.19,0.011,0.002,0.948,0.025,0.01
Shamlaji,23.68611111,73.36666667,0.015,0.003,0.062,0.015,0.001,0.013,1.472,3.993,0.188,0.076,0.041,0.187,0.007,0.005,0.949,0.065,0.01
Dharmoda1,23.69166667,72.07083333,0.006,0.005,0.061,0.017,0.001,0.025,0.522,3.66,0.4,0.079,0.059,0.134,0.014,0.003,0.78,0.042,0.01
Dharmoda,23.69722222,72.06944444,0.018,0.002,0.07,0.011,0.001,0.024,0.604,4.038,0.4,0.063,0.053,0.291,0.019,0.002,0.715,0.05,0.01
Visnagar,23.7,72.55416667,0.008,0.003,0.023,0.006,0.001,0.02,1.691,3.804,0.398,0.135,0.026,0.398,0.016,0.005,0.624,0.016,0.01
Gadha,23.70833333,72.94166667,0.018,0.004,0.057,0.012,0.001,0.022,1.809,2.11,0.257,0.073,0.068,0.369,0.014,0.002,0.889,0.051,0.01
Bhandupara,23.725,72.38333333,0.017,0.005,0.031,0.008,0.001,0.018,1.183,4.357,0.18,0.123,0.049,0.312,0.017,0.005,0.751,0.014,0.01
Bhadreshwar,23.74583333,72.97916667,0.019,0.003,0.074,0.011,0.002,0.027,1.958,1.814,0.428,0.093,0.058,0.172,0.019,0.003,0.637,0.069,0.01
Deshalpur rapar,23.74722222,70.67916667,0.007,0.002,0.044,0.014,0.001,0.027,1.416,3.888,0.245,0.059,0.031,0.209,0.017,0.002,0.584,0.04,0.01
Moti cher,23.75833333,68.675,0.019,0.003,0.035,0.012,0.002,0.028,1.331,3.767,0.325,0.176,0.051,0.107,0.009,0.007,0.877,0.036,0.01
Santhalpur,23.75833333,71.175,0.006,0.003,0.037,0.007,0.001,0.021,1.744,3.507,0.17,0.173,0.026,0.318,0.012,0.004,0.585,0.051,0.01
Tarabh,23.75833333,72.45833333,0.009,0.003,0.011,0.016,0.001,0.025,0.519,3.3,0.231,0.124,0.032,0.129,0.013,0.002,0.838,0.068,0.01
Sander,23.76666667,72.25416667,0.016,0.004,0.055,0.02,0.001,0.01,0.922,2.278,0.285,0.161,0.026,0.274,0.009,0.004,0.983,0.017,0.01
Unawa,23.76666667,72.3625,0.012,0.003,0.076,0.008,0.001,0.02,1.673,1.524,0.403,0.184,0.066,0.243,0.018,0.003,0.899,0.022,0.01
Bhiloda2,23.76666667,73.27222222,0.013,0.002,0.072,0.01,0.001,0.02,1.056,2.818,0.348,0.198,0.061,0.202,0.007,0.004,0.801,0.063,0.01
Shankhari,23.77916667,72.1625,0.011,0.001,0.04,0.006,0.001,0.028,0.955,1.084,0.311,0.179,0.035,0.383,0.006,0.004,0.717,0.037,0.01
Varahi,23.78333333,71.45,0.005,0.001,0.047,0.014,0.001,0.014,0.897,2.918,0.472,0.115,0.068,0.319,0.014,0.002,0.87,0.017,0.01
Virpur (Idar),23.78333333,72.93333333,0.019,0.003,0.046,0.018,0.001,0.012,1.191,2.405,0.264,0.065,0.059,0.123,0.013,0.006,0.958,0.064,0.01
Unjha,23.79777778,72.39444444,0.015,0.005,0.023,0.009,0.001,0.015,0.532,1.904,0.263,0.084,0.058,0.313,0.007,0.003,0.763,0.047,0.01
Sihi,23.8,72.35,0.011,0.005,0.046,0.008,0.002,0.024,0.723,1.729,0.147,0.105,0.028,0.398,0.019,0.006,0.623,0.059,0.01
Revas,23.82083333,73.11666667,0.018,0.002,0.043,0.019,0.001,0.015,1.898,4.595,0.373,0.162,0.06,0.255,0.016,0.006,0.846,0.025,0.01
Lakhpat,23.82305556,68.775,0.015,0.001,0.064,0.006,0.001,0.022,0.965,1.011,0.423,0.055,0.025,0.327,0.007,0.003,0.616,0.052,0.01
Radhanpur2,23.825,71.61388889,0.018,0.004,0.035,0.015,0.001,0.025,1.5,3.675,0.363,0.089,0.043,0.333,0.015,0.006,0.728,0.057,0.01
Khavada,23.83888889,69.73055556,0.015,0.002,0.059,0.013,0.002,0.011,0.752,4.748,0.486,0.091,0.045,0.195,0.015,0.002,0.552,0.046,0.01
Patan2,23.84166667,72.12361111,0.011,0.003,0.078,0.017,0.002,0.025,1.855,4.804,0.426,0.064,0.027,0.301,0.019,0.007,0.746,0.022,0.01
Dosaj,23.84166667,72.45,0.007,0.005,0.077,0.013,0.002,0.03,1.748,1.828,0.263,0.112,0.06,0.27,0.012,0.004,0.731,0.048,0.01
Idar,23.84166667,73.0375,0.014,0.002,0.052,0.011,0.001,0.019,1.331,1.862,0.434,0.167,0.037,0.36,0.01,0.003,0.508,0.058,0.01
Khavda,23.84444444,69.73194444,0.018,0.005,0.053,0.011,0.001,0.025,1.881,4.04,0.481,0.09,0.058,0.185,0.005,0.007,0.632,0.048,0.01
Unad1,23.84583333,72.71666667,0.006,0.001,0.014,0.012,0.002,0.022,0.781,3.742,0.417,0.104,0.028,0.228,0.006,0.002,0.58,0.036,0.01
Takatuka,23.84722222,73.30833333,0.008,0.004,0.069,0.01,0.002,0.029,0.756,3.649,0.182,0.085,0.032,0.377,0.008,0.004,0.7,0.031,0.01
Patan2,23.85,72.1,0.017,0.003,0.072,0.017,0.001,0.018,1.792,1.694,0.349,0.147,0.048,0.361,0.009,0.005,0.842,0.055,0.01
Takatuka_1,23.85138889,73.305,0.019,0.003,0.057,0.008,0.002,0.028,1.392,1.354,0.488,0.085,0.036,0.387,0.018,0.006,0.742,0.055,0.01
